Date;Close*
Feb 09, 2022;38,990.95
Feb 08, 2022;38,630.60
Feb 07, 2022;38,316.41
Feb 06, 2022;37,026.61
Feb 05, 2022;36,195.83
Feb 04, 2022;36,247.98
Feb 03, 2022;32,490.47
Feb 02, 2022;32,702.76
Feb 01, 2022;34,367.76
Jan 31, 2022;34,270.42
